id,firstname,lastname,dob,gender,ssn,class,section,classroom,specialization
980,Maryl,Bodocs,2011/02/28,F,3543808492541705,4,RU,Puce,Maroon
981,Gun,Calken,2012/06/08,M,5048377184896459,2,RU,Puce,Goldenrod
982,Aylmar,Hauxley,2009/06/17,M,3586643806952969,2,CL,Indigo,Indigo
983,Niles,Tuffin,2015/03/16,M,3583369580459921,4,CZ,Teal,Indigo
984,Donalt,Matyushenko,2020/01/08,M,3567729461240452,4,PS,Maroon,Puce
985,Mario,Nathon,2017/04/01,M,5893818582798910065,3,PH,Aquamarine,Orange
986,Veronike,Goodbairn,2014/03/12,F,5048377617844480,4,IE,Goldenrod,Goldenrod
987,Riccardo,Gabotti,2016/05/09,M,5331668069722885,2,BY,Violet,Turquoise
988,Cortie,Standage,2013/12/18,M,3539177332421239,1,CZ,Puce,Blue
989,Rogers,Borges,2005/10/13,M,3555417906658926,1,CN,Pink,Fuscia
990,Berne,Parell,2006/07/18,M,4026355308217850,1,CN,Aquamarine,Pink
991,Brana,McGettigan,2011/09/05,F,6388240238111422,4,CN,Fuscia,Blue
992,Tyler,Skyppe,2004/07/10,M,3533346985910055,3,BR,Khaki,Indigo
993,Town,Drewitt,2008/02/02,M,5366803650597762,3,SI,Blue,Blue
994,Ira,Pree,2005/11/02,F,560221738935801465,1,GT,Violet,Khaki
995,Jen,Swane,2003/05/14,F,377859590237271,5,BO,Crimson,Indigo
996,Allyson,Longmaid,2002/12/27,F,5602222519851712,2,MM,Aquamarine,Green
997,Thaddus,Fitzjohn,2015/11/13,M,493688000106091800,4,RU,Maroon,Aquamarine
998,Phedra,Baylay,2015/07/08,F,3572384657827986,1,ID,Indigo,Teal
999,Edlin,Kelso,2018/06/10,M,3531556536331856,5,UA,Goldenrod,Purple
1000,Mina,Glyne,2018/09/10,F,6706147753992149710,5,CN,Puce,Puce
